,Unnamed: 0,Season,Meet ID,Meet Date,Meet Name,Gymnast ID,Name,Team,Event,RQS,Score,Location
184190,184190,2013,1,"Sat, Jan-12-2013",,3,Emily Bucher,Air Force,BB,9.665,9.6,Away
184191,184191,2013,1,"Sat, Jan-12-2013",,6,Linnaea Hance,Air Force,VT,9.725,9.625,Away
184192,184192,2013,1,"Sat, Jan-12-2013",,6,Linnaea Hance,Air Force,UB,9.8,9.725,Away
184193,184193,2013,1,"Sat, Jan-12-2013",,6,Linnaea Hance,Air Force,BB,9.705,9.275,Away
184194,184194,2013,1,"Sat, Jan-12-2013",,6,Linnaea Hance,Air Force,FX,9.74,9.525,Away
184195,184195,2013,1,"Sat, Jan-12-2013",,7,Jessica Hanner,Air Force,VT,,9.575,Away
184196,184196,2013,1,"Sat, Jan-12-2013",,7,Jessica Hanner,Air Force,UB,9.66,9.5,Away
184197,184197,2013,1,"Sat, Jan-12-2013",,7,Jessica Hanner,Air Force,BB,9.74,9.625,Away
184198,184198,2013,1,"Sat, Jan-12-2013",,8,Katie Hawthorne,Air Force,VT,9.655,9.65,Away
184199,184199,2013,1,"Sat, Jan-12-2013",,8,Katie Hawthorne,Air Force,UB,9.76,9.675,Away
184200,184200,2013,1,"Sat, Jan-12-2013",,8,Katie Hawthorne,Air Force,BB,9.64,8.725,Away
184201,184201,2013,1,"Sat, Jan-12-2013",,8,Katie Hawthorne,Air Force,FX,9.75,9.75,Away
184202,184202,2013,1,"Sat, Jan-12-2013",,9,Shannen Kelly,Air Force,VT,9.565,9.35,Away
184203,184203,2013,1,"Sat, Jan-12-2013",,9,Shannen Kelly,Air Force,BB,9.63,9.225,Away
184204,184204,2013,1,"Sat, Jan-12-2013",,9,Shannen Kelly,Air Force,FX,9.675,9.5,Away
184205,184205,2013,1,"Sat, Jan-12-2013",,10,Jen Larsen,Air Force,VT,9.76,9.65,Away
184206,184206,2013,1,"Sat, Jan-12-2013",,10,Jen Larsen,Air Force,UB,9.675,9.65,Away
184207,184207,2013,1,"Sat, Jan-12-2013",,10,Jen Larsen,Air Force,BB,9.55,9.15,Away
184208,184208,2013,1,"Sat, Jan-12-2013",,10,Jen Larsen,Air Force,FX,9.725,9.8,Away
184209,184209,2013,1,"Sat, Jan-12-2013",,11,Kim McRobbie,Air Force,FX,,7.95,Away
184210,184210,2013,1,"Sat, Jan-12-2013",,14,Alexandra Stych,Air Force,UB,9.7,9.425,Away
184211,184211,2013,1,"Sat, Jan-12-2013",,15,Jessica Wallander,Air Force,VT,9.815,9.775,Away
184212,184212,2013,1,"Sat, Jan-12-2013",,15,Jessica Wallander,Air Force,UB,9.74,9.35,Away
184213,184213,2013,1,"Sat, Jan-12-2013",,15,Jessica Wallander,Air Force,FX,9.765,9.325,Away
184214,184214,2013,2,"Fri, Jan-18-2013",,1,Ali Ables,Air Force,BB,,9.6,Away
184215,184215,2013,2,"Fri, Jan-18-2013",,3,Emily Bucher,Air Force,BB,9.665,9.625,Away
184216,184216,2013,2,"Fri, Jan-18-2013",,6,Linnaea Hance,Air Force,VT,9.725,9.6,Away
184217,184217,2013,2,"Fri, Jan-18-2013",,6,Linnaea Hance,Air Force,UB,9.8,9.775,Away
184218,184218,2013,2,"Fri, Jan-18-2013",,6,Linnaea Hance,Air Force,BB,9.705,9.075,Away
184219,184219,2013,2,"Fri, Jan-18-2013",,6,Linnaea Hance,Air Force,FX,9.74,9.6,Away
184220,184220,2013,2,"Fri, Jan-18-2013",,7,Jessica Hanner,Air Force,VT,,9.475,Away
