,Name,School,L10_High_AA,L10_Ave_AA,Freshman,NCAA_High_AA,NCAA_Ave_AA,AA_nqs,AA_delta
0,Emily Leese,Rutgers,36.325,27.519736842105264,2021,0.0,0.0,0.0,-36.325
1,Bridget Sullivan,West Chester,35.1,25.278125000000003,2022,0.0,0.0,0.0,-35.1
2,Megan Thompson,Arizona State,38.15,28.646862745098037,2021,0.0,0.0,0.0,-38.15
3,Sloane Blakely,Florida,39.6,32.307692307692314,2022,39.675,39.186,39.37,0.075
4,Skyla Schulte,Michigan State,39.175,30.571774193548386,2022,39.675,39.31,39.515,0.5
5,Lali Dekanoidze,North Carolina,39.2,30.388000000000005,2022,39.55,39.243,39.165,0.35
6,Jocelyn Moore,Missouri,38.75,30.504166666666663,2022,0.0,0.0,0.0,-38.75
7,Leah Smith,Towson,39.375,27.50863636363636,2019,39.425,38.675,39.19,0.05
8,Alex Theodorou,Arizona State,38.75,38.75,2022,39.1,38.713,0.0,0.35
9,Jordan Bowers,Oklahoma,38.925,29.950000000000003,2022,39.6,39.204,0.0,0.675
10,Danielle Sievers,Oklahoma,38.925,29.093181818181815,2022,0.0,0.0,0.0,-38.925
11,Tory Vetter,Ohio State,38.825,29.48148148148148,2022,0.0,0.0,0.0,-38.825
12,Alysen Fears,Arizona,38.775,29.80789473684211,2022,39.35,39.125,39.08,0.575
13,Lilly Hudson,Alabama,39.1,30.956999999999997,2022,39.55,39.356,39.51,0.45
14,Amari Celestine,Missouri,39.025,30.793888888888887,2022,0.0,0.0,0.0,-39.025
15,Lana Navarro,Washington,38.5,29.964516129032262,2022,0.0,0.0,0.0,-38.5
16,Lauren Rutherford,North Carolina State,38.45,28.116428571428568,2022,0.0,0.0,0.0,-38.45
17,Emily Mueller,Arizona,38.625,29.423684210526318,2022,39.35,38.981,39.185,0.725
18,Hannah Loyim,Iowa State,38.4,28.622142857142858,2022,39.175,38.537,0.0,0.775
19,Ella Chemotti,Eastern Michigan,38.4,29.357236842105266,2022,0.0,0.0,0.0,-38.4
20,Marissa Rojas,Iowa,38.375,29.6475,2022,0.0,0.0,0.0,-38.375
21,Jaye Mack,Illinois State,38.325,28.545625,2022,0.0,0.0,0.0,-38.325
22,Momoko Iwai,Denver,38.925,30.807692307692314,2022,0.0,0.0,0.0,-38.925
23,Emma Loyim,Boise State,38.3,30.064062500000006,2022,0.0,0.0,0.0,-38.3
24,Lindsay Ockler,S.E. Missouri,38.3,26.68571428571429,2022,0.0,0.0,0.0,-38.3
25,Sidney Washington,Pittsburgh,38.375,29.608333333333334,2022,39.475,38.814,38.935,1.1
26,Kaitlyn Grimes,Ohio State,38.825,25.690972222222218,2022,0.0,0.0,0.0,-38.825
27,Alyssa Vulaj,Boise State,38.725,30.930999999999997,2022,0.0,0.0,0.0,-38.725
28,Natalie Briones,Oregon State,38.85,27.115131578947377,2022,0.0,0.0,0.0,-38.85
29,Julia Knower,North Carolina,38.3,29.679411764705883,2022,39.4,39.035,39.24,1.1
30,Mya Lauzon,California,38.875,30.260937499999997,2022,39.075,39.025,0.0,0.2
31,Anna Leigh,West Virginia,38.55,28.48525641025641,2022,0.0,0.0,0.0,-38.55
32,Kalyxta Gamiao,Arkansas,38.9,29.208035714285714,2022,0.0,0.0,0.0,-38.9
33,Madison Greene,S.E. Missouri,38.2,29.25530303030303,2022,0.0,0.0,0.0,-38.2
34,Jenna Hlavach,Ohio State,38.425,26.625961538461542,2022,0.0,0.0,0.0,-38.425
35,Jessica Johanson,Penn State,38.675,27.788571428571434,2022,0.0,0.0,0.0,-38.675
36,Isabel Song,Pennsylvania,38.625,27.266379310344828,2022,0.0,0.0,0.0,-38.625
37,Trinity Brown,Utah State,38.0,29.124193548387098,2022,0.0,0.0,0.0,-38.0
38,Haley Tyson,Minnesota,39.075,30.3075,2022,0.0,0.0,0.0,-39.075
39,Ashley Blum,Washington,38.375,24.05705128205128,2022,0.0,0.0,0.0,-38.375
40,Sara Hubbard,Auburn,38.1,24.908653846153847,2022,0.0,0.0,0.0,-38.1
41,Ruthuja Nataraj,Illinois,38.1,30.776785714285715,2022,0.0,0.0,0.0,-38.1
42,Abby Singh,Western Michigan,37.9,30.91666666666666,2022,0.0,0.0,0.0,-37.9
