,Name,School,L10_High_FX,L10_Ave_FX,Freshman,NCAA_High_FX,NCAA_Ave_FX,FX_nqs,FX_delta
0,Emily Leese,Rutgers,9.625,7.217105263157894,2021,9.85,9.613,9.735,0.225
1,Bridget Sullivan,West Chester,9.225,6.514062499999999,2022,0.0,0.0,0.0,-9.225
2,Megan Thompson,Arizona State,9.7,6.713725490196079,2021,9.725,9.669,0.0,0.025
3,Sloane Blakely,Florida,9.9,8.046153846153846,2022,10.0,9.832,9.88,0.1
4,Skyla Schulte,Michigan State,9.925,7.772580645161288,2022,9.95,9.859,9.925,0.025
5,Lali Dekanoidze,North Carolina,9.8,7.4254999999999995,2022,9.9,9.821,9.815,0.1
6,Jocelyn Moore,Missouri,9.8,7.437499999999999,2022,9.95,9.903,9.925,0.15
7,Leah Smith,Towson,10.0,6.695000000000001,2019,9.9,9.399,9.845,-0.1
8,Alex Theodorou,Arizona State,9.825,9.825,2022,9.9,9.758,9.84,0.075
9,Jordan Bowers,Oklahoma,9.875,7.4892857142857165,2022,9.9625,9.912,9.95,0.088
10,Danielle Sievers,Oklahoma,9.95,7.048636363636365,2022,9.95,9.904,9.918,0.0
11,Tory Vetter,Ohio State,9.7,7.428703703703705,2022,0.0,0.0,0.0,-9.7
12,Alysen Fears,Arizona,9.725,7.019736842105264,2022,9.9,9.843,9.875,0.175
13,Lilly Hudson,Alabama,9.775,6.838,2022,9.95,9.891,9.932,0.175
14,Amari Celestine,Missouri,9.9,7.853888888888888,2022,9.975,9.908,9.935,0.075
15,Lana Navarro,Washington,9.725,7.000806451612904,2022,9.875,9.69,9.83,0.15
16,Lauren Rutherford,North Carolina State,9.775,7.494999999999999,2022,9.9,9.835,9.875,0.125
17,Emily Mueller,Arizona,9.8,6.968421052631578,2022,9.9,9.8,9.84,0.1
18,Hannah Loyim,Iowa State,9.7,7.107142857142857,2022,9.925,9.534,9.785,0.225
19,Ella Chemotti,Eastern Michigan,9.55,6.817763157894739,2022,0.0,0.0,0.0,-9.55
20,Marissa Rojas,Iowa,9.6,6.464999999999999,2022,9.875,9.671,9.73,0.275
21,Jaye Mack,Illinois State,9.825,7.4975,2022,9.925,9.846,9.91,0.1
22,Momoko Iwai,Denver,9.775,7.130769230769232,2022,9.875,9.832,9.85,0.1
23,Emma Loyim,Boise State,9.45,7.4945312500000005,2022,9.8,9.636,9.775,0.35
24,Lindsay Ockler,S.E. Missouri,9.7,6.757142857142858,2022,9.775,9.625,9.675,0.075
25,Sidney Washington,Pittsburgh,9.575,6.534999999999999,2022,9.9,9.823,9.86,0.325
26,Kaitlyn Grimes,Ohio State,9.7,6.0263888888888895,2022,9.8,9.8,0.0,0.1
27,Alyssa Vulaj,Boise State,9.775,7.822,2022,9.775,9.338,0.0,0.0
28,Natalie Briones,Oregon State,9.85,6.668421052631577,2022,9.825,9.75,0.0,-0.025
29,Julia Knower,North Carolina,9.6,6.543382352941177,2022,9.9,9.737,9.87,0.3
30,Mya Lauzon,California,9.725,6.804687500000001,2022,9.9,9.862,9.855,0.175
31,Anna Leigh,West Virginia,9.85,7.4403846153846125,2022,9.925,9.213,9.855,0.075
32,Kalyxta Gamiao,Arkansas,9.825,7.456250000000001,2022,0.0,0.0,0.0,-9.825
33,Madison Greene,S.E. Missouri,9.8,7.393181818181818,2022,9.925,9.571,9.86,0.125
34,Jenna Hlavach,Ohio State,9.8,7.231730769230769,2022,9.95,9.865,9.895,0.15
35,Jessica Johanson,Penn State,9.7,7.249999999999999,2022,9.8,9.669,9.69,0.1
36,Isabel Song,Pennsylvania,9.625,5.516379310344828,2022,9.8,9.703,9.735,0.175
37,Trinity Brown,Utah State,9.7,6.9120967741935475,2022,9.925,9.831,9.87,0.225
38,Haley Tyson,Minnesota,9.9,6.990833333333334,2022,0.0,0.0,0.0,-9.9
39,Ashley Blum,Washington,9.8,5.74102564102564,2022,9.9,9.797,9.825,0.1
40,Sara Hubbard,Auburn,9.875,7.248076923076921,2022,9.9,9.75,9.72,0.025
41,Ruthuja Nataraj,Illinois,9.75,6.7375,2022,9.9,9.831,9.86,0.15
42,Abby Singh,Western Michigan,9.6,7.7749999999999995,2022,0.0,0.0,0.0,-9.6
43,Sierra Muns,Texas Woman's,9.625,7.066176470588236,2022,9.9,9.705,9.84,0.275
44,Josephine Kogler,Maryland,9.575,6.062500000000001,2022,9.775,9.725,0.0,0.2
45,Victoria Gatzendorfer,Missouri,9.65,7.459375,2022,0.0,0.0,0.0,-9.65
46,Rachel Wilke,Iowa State,9.875,7.89782608695652,2022,9.85,9.76,0.0,-0.025
47,Emmalise Nock,Northern Illinois,9.775,7.393750000000002,2022,9.925,9.839,9.84,0.15
48,Sarah Stallings,Temple,9.55,6.3989130434782595,2022,0.0,0.0,0.0,-9.55
49,Josie Bergstrom,Iowa State,9.6,6.565322580645162,2022,0.0,0.0,0.0,-9.6
