,Name,School,L10_High_UB,L10_Ave_UB,Freshman,NCAA_High_UB,NCAA_Ave_UB,UB_nqs,UB_delta
0,Emily Leese,Rutgers,8.8,5.598684210526316,2021,0.0,0.0,0.0,-8.8
1,Bridget Sullivan,West Chester,8.65,5.4265625,2022,0.0,0.0,0.0,-8.65
2,Megan Thompson,Arizona State,9.625,6.5566666666666675,2021,0.0,0.0,0.0,-9.625
3,Sloane Blakely,Florida,9.9,8.003846153846153,2022,9.9,9.709,9.867,0.0
4,Skyla Schulte,Michigan State,9.825,7.554032258064515,2022,9.95,9.836,9.885,0.125
5,Lali Dekanoidze,North Carolina,9.9,7.677000000000001,2022,9.95,9.863,9.85,0.05
6,Jocelyn Moore,Missouri,9.8,7.716666666666667,2022,9.85,9.8,0.0,0.05
7,Leah Smith,Towson,9.95,7.164090909090909,2019,9.85,9.695,9.845,-0.1
8,Alex Theodorou,Arizona State,9.625,9.625,2022,9.875,9.823,9.845,0.25
9,Jordan Bowers,Oklahoma,9.85,7.582142857142858,2022,9.975,9.919,9.95,0.125
10,Danielle Sievers,Oklahoma,9.825,7.246363636363638,2022,9.975,9.886,9.91,0.15
11,Tory Vetter,Ohio State,9.825,7.367592592592593,2022,9.8,9.8,0.0,-0.025
12,Alysen Fears,Arizona,9.9,7.570394736842105,2022,9.9,9.75,9.87,0.0
13,Lilly Hudson,Alabama,9.8,7.183000000000001,2022,9.925,9.862,9.895,0.125
14,Amari Celestine,Missouri,9.825,6.96,2022,9.9,9.707,9.83,0.075
15,Lana Navarro,Washington,9.7,7.421774193548387,2022,0.0,0.0,0.0,-9.7
16,Lauren Rutherford,North Carolina State,9.7,7.252857142857142,2022,9.925,9.758,9.855,0.225
17,Emily Mueller,Arizona,9.675,7.272368421052632,2022,9.85,9.706,9.805,0.175
18,Hannah Loyim,Iowa State,9.8,7.469285714285713,2022,9.9,9.771,9.81,0.1
19,Ella Chemotti,Eastern Michigan,9.725,7.102631578947368,2022,9.9,9.752,9.79,0.175
20,Marissa Rojas,Iowa,9.75,7.489999999999999,2022,9.8,9.665,0.0,0.05
21,Jaye Mack,Illinois State,9.7,6.579375000000002,2022,0.0,0.0,0.0,-9.7
22,Momoko Iwai,Denver,10.0,7.303846153846154,2022,0.0,0.0,0.0,-10.0
23,Emma Loyim,Boise State,9.75,7.202343750000001,2022,0.0,0.0,0.0,-9.75
24,Lindsay Ockler,S.E. Missouri,9.75,6.603571428571428,2022,9.925,9.802,9.865,0.175
25,Sidney Washington,Pittsburgh,9.775,7.5566666666666675,2022,9.85,9.72,9.825,0.075
26,Kaitlyn Grimes,Ohio State,9.8,5.346527777777778,2022,9.0,9.0,0.0,-0.8
27,Alyssa Vulaj,Boise State,9.575,6.734,2022,0.0,0.0,0.0,-9.575
28,Natalie Briones,Oregon State,9.85,6.870394736842107,2022,9.05,8.95,0.0,-0.8
29,Julia Knower,North Carolina,9.7,7.233088235294115,2022,9.825,9.754,9.815,0.125
30,Mya Lauzon,California,9.7,7.2390625,2022,9.85,9.833,0.0,0.15
31,Anna Leigh,West Virginia,9.8,6.851923076923079,2022,9.85,9.719,9.8,0.05
32,Kalyxta Gamiao,Arkansas,9.675,7.2437499999999995,2022,0.0,0.0,0.0,-9.675
33,Madison Greene,S.E. Missouri,9.425,5.949242424242424,2022,0.0,0.0,0.0,-9.425
34,Jenna Hlavach,Ohio State,9.5,5.866346153846154,2022,9.85,9.736,9.795,0.35
35,Jessica Johanson,Penn State,9.75,6.751428571428571,2022,9.85,9.784,9.815,0.1
36,Isabel Song,Pennsylvania,9.725,7.024137931034482,2022,9.85,9.665,9.775,0.125
37,Trinity Brown,Utah State,9.525,6.948387096774194,2022,0.0,0.0,0.0,-9.525
38,Haley Tyson,Minnesota,9.9,7.535833333333333,2022,0.0,0.0,0.0,-9.9
39,Ashley Blum,Washington,9.725,5.3679487179487175,2022,9.075,9.075,0.0,-0.65
40,Sara Hubbard,Auburn,9.15,4.099038461538463,2022,0.0,0.0,0.0,-9.15
41,Ruthuja Nataraj,Illinois,9.625,7.628571428571428,2022,0.0,0.0,0.0,-9.625
42,Abby Singh,Western Michigan,9.625,7.779166666666666,2022,0.0,0.0,0.0,-9.625
43,Sierra Muns,Texas Woman's,9.525,6.798529411764706,2022,9.15,9.15,0.0,-0.375
44,Josephine Kogler,Maryland,9.675,7.18203125,2022,0.0,0.0,0.0,-9.675
45,Victoria Gatzendorfer,Missouri,9.65,7.827083333333332,2022,9.85,9.787,0.0,0.2
46,Rachel Wilke,Iowa State,9.575,7.514130434782609,2022,0.0,0.0,0.0,-9.575
47,Emmalise Nock,Northern Illinois,9.425,6.671428571428571,2022,9.575,9.575,0.0,0.15
48,Sarah Stallings,Temple,9.85,7.758695652173914,2022,9.875,9.581,9.82,0.025
49,Josie Bergstrom,Iowa State,9.625,6.944354838709677,2022,0.0,0.0,0.0,-9.625
50,Makenzie Sedlacek,Arkansas,9.775,6.892499999999999,2022,9.7,9.7,0.0,-0.075
51,Mya Robinson,Illinois State,9.6,6.76923076923077,2022,0.0,0.0,0.0,-9.6
52,Marigold Garrett,Pennsylvania,9.725,5.742045454545454,2022,0.0,0.0,0.0,-9.725
53,Alana Fisher,Eastern Michigan,9.5,7.237500000000001,2022,0.0,0.0,0.0,-9.5
54,Isabella Garrett,Pennsylvania,9.475,6.982065217391306,2022,0.0,0.0,0.0,-9.475
55,Karlie Chavez,Oregon State,9.5,7.188999999999999,2022,0.0,0.0,0.0,-9.5
56,Emma Simpton,Nebraska,9.95,7.286184210526316,2022,9.85,9.458,9.715,-0.1
57,Alyssa Beaulieu,New Hampshire,9.5,7.309090909090911,2022,0.0,0.0,0.0,-9.5
58,Payton Gatzlaff,Lindenwood,9.25,6.902777777777778,2022,0.0,0.0,0.0,-9.25
59,Gracy Mowers,New Hampshire,9.225,6.063888888888888,2022,9.075,9.075,0.0,-0.15
60,Libby Garfoot,Pennsylvania,9.775,7.47265625,2019,9.9,9.52,9.74,0.125
61,Summer Simpkins,New Hampshire,9.575,6.033333333333334,2022,9.825,9.571,9.645,0.25
62,Sydney Beers,Cornell,9.5,6.922222222222221,2022,9.7,9.452,9.56,0.2
63,Ava Scafani,UC Davis,9.525,7.341666666666666,2022,9.85,9.705,9.805,0.325
64,Anna Pagliaro,Rutgers,9.225,6.858035714285714,2022,0.0,0.0,0.0,-9.225
65,Cami Weaver,Arkansas,9.35,6.024,2022,0.0,0.0,0.0,-9.35
66,Kathryn Weilbacher,Bowling Green,9.8,5.506818181818182,2022,9.85,9.52,0.0,0.05
67,Keanna Abraham,UC Davis,9.3,6.4107142857142865,2022,0.0,0.0,0.0,-9.3
68,Kiana Session,Bridgeport,9.45,7.118333333333334,2022,9.625,9.282,9.525,0.175
69,Emily Pires,UC Davis,9.0,6.799999999999999,2022,0.0,0.0,0.0,-9.0
70,Hannah Stallings,Temple,9.75,7.104807692307691,2022,9.825,9.681,9.755,0.075
71,Morgan Romeis,Southern Conn.,9.45,6.75625,2022,0.0,0.0,0.0,-9.45
72,Carley Beeman,Oregon State,9.7,7.262068965517242,2022,9.85,9.787,9.825,0.15
73,Cheyenne Pratola,Kent State,9.55,6.947222222222223,2022,0.0,0.0,0.0,-9.55
