,Name,School,L10_High_BB,L10_Ave_BB,Freshman,NCAA_High_BB,NCAA_Ave_BB,BB_nqs
0,Emily Leese,Rutgers,9.05,6.65657894736842,2021,9.625,9.625,0.0
1,Bridget Sullivan,West Chester,9.1,6.414062499999999,2022,0.0,0.0,0.0
2,Megan Thompson,Arizona State,9.65,6.789705882352941,2021,9.9,9.758,9.86
3,Sloane Blakely,Florida,9.9,8.11730769230769,2022,9.95,9.869,9.935
4,Skyla Schulte,Michigan State,9.875,7.591935483870967,2022,9.95,9.796,9.922
5,Lali Dekanoidze,North Carolina,9.775,7.361,2022,9.9,9.666,9.65
6,Jocelyn Moore,Missouri,9.775,6.829166666666666,2022,0.0,0.0,0.0
7,Leah Smith,Towson,9.575,5.930909090909092,2019,9.9,9.55,9.835
8,Alex Theodorou,Arizona State,9.55,9.55,2022,9.575,9.337,0.0
9,Jordan Bowers,Oklahoma,9.75,7.37857142857143,2022,9.875,9.65,0.0
10,Danielle Sievers,Oklahoma,9.725,6.8122727272727275,2022,0.0,0.0,0.0
11,Tory Vetter,Ohio State,9.675,7.370370370370371,2022,9.9,9.9,0.0
12,Alysen Fears,Arizona,9.725,7.446710526315789,2022,9.85,9.767,9.83
13,Lilly Hudson,Alabama,9.8,7.592000000000001,2022,9.95,9.813,9.91
14,Amari Celestine,Missouri,9.75,7.562222222222223,2022,0.0,0.0,0.0
15,Lana Navarro,Washington,9.7,7.127419354838712,2022,9.9,9.718,9.845
16,Lauren Rutherford,North Carolina State,9.45,6.84357142857143,2022,0.0,0.0,0.0
17,Emily Mueller,Arizona,9.775,6.340789473684212,2022,9.9,9.696,9.845
18,Hannah Loyim,Iowa State,9.7,7.178571428571427,2022,9.85,9.783,9.81
19,Ella Chemotti,Eastern Michigan,9.775,7.122368421052633,2022,9.95,9.679,9.885
20,Marissa Rojas,Iowa,9.65,7.345000000000001,2022,9.925,9.75,9.82
21,Jaye Mack,Illinois State,9.375,6.529375000000002,2022,9.725,9.36,0.0
22,Momoko Iwai,Denver,9.675,7.080769230769231,2022,9.95,9.739,9.87
23,Emma Loyim,Boise State,9.6,7.564843749999998,2022,9.85,9.7,9.67
24,Lindsay Ockler,S.E. Missouri,9.4,6.596428571428571,2022,0.0,0.0,0.0
25,Sidney Washington,Pittsburgh,9.75,7.122499999999999,2022,9.875,9.497,9.695
