,Name,School,L10_High_VT,L10_Ave_VT,Freshman,NCAA_High_VT,NCAA_Ave_VT,VT_nqs
0,Emily Leese,Rutgers,9.65,7.361842105263158,2021,9.9,9.773,9.855
1,Bridget Sullivan,West Chester,9.3,6.8671875,2022,9.475,9.462,0.0
2,Megan Thompson,Arizona State,9.65,6.887254901960783,2021,0.0,0.0,0.0
3,Sloane Blakely,Florida,9.95,8.248076923076923,2022,9.95,9.797,9.855
4,Skyla Schulte,Michigan State,9.825,7.7185483870967735,2022,9.9,9.821,9.865
5,Lali Dekanoidze,North Carolina,9.925,7.460000000000003,2022,9.9,9.85,9.855
6,Jocelyn Moore,Missouri,10.0,6.852083333333335,2022,9.95,9.893,9.94
7,Leah Smith,Towson,9.95,6.670000000000002,2019,9.875,9.663,9.855
8,Alex Theodorou,Arizona State,9.75,9.75,2022,9.925,9.877,9.9
9,Jordan Bowers,Oklahoma,9.875,7.107142857142858,2022,10.0,9.855,9.97
10,Danielle Sievers,Oklahoma,10.0,6.733181818181819,2022,9.925,9.872,9.885
11,Tory Vetter,Ohio State,9.9,7.445370370370371,2022,0.0,0.0,0.0
12,Alysen Fears,Arizona,9.625,6.9125000000000005,2022,9.8,9.736,9.75
13,Lilly Hudson,Alabama,9.9,7.203000000000001,2022,9.95,9.82,9.845
14,Amari Celestine,Missouri,10.0,7.676666666666668,2022,9.95,9.887,9.91
15,Lana Navarro,Washington,9.875,7.091129032258064,2022,9.9,9.825,9.86
16,Lauren Rutherford,North Carolina State,9.775,7.299285714285713,2022,9.85,9.785,9.81
17,Emily Mueller,Arizona,9.775,7.018421052631579,2022,9.85,9.775,9.8
18,Hannah Loyim,Iowa State,9.75,7.295714285714285,2022,9.75,9.336,9.72
19,Ella Chemotti,Eastern Michigan,9.7,6.977631578947369,2022,9.8,9.635,9.715
20,Marissa Rojas,Iowa,9.625,7.5525,2022,9.675,9.675,0.0
21,Jaye Mack,Illinois State,9.75,7.435625000000002,2022,9.85,9.655,9.78
22,Momoko Iwai,Denver,9.725,8.0,2022,9.85,9.775,9.78
23,Emma Loyim,Boise State,9.8,7.6078125,2022,9.65,9.65,0.0
24,Lindsay Ockler,S.E. Missouri,9.7,6.7821428571428575,2022,9.85,9.784,9.82
25,Sidney Washington,Pittsburgh,9.85,6.687499999999999,2022,9.875,9.811,9.83
26,Kaitlyn Grimes,Ohio State,9.875,7.130555555555556,2022,9.9,9.756,9.79
27,Alyssa Vulaj,Boise State,9.75,7.535000000000002,2022,9.925,9.82,9.86
28,Natalie Briones,Oregon State,9.75,6.982236842105264,2022,0.0,0.0,0.0
29,Julia Knower,North Carolina,9.725,6.930882352941175,2022,9.875,9.773,9.825
30,Mya Lauzon,California,10.0,7.535937499999998,2022,9.85,9.7,9.67
31,Anna Leigh,West Virginia,9.6,6.852564102564102,2022,0.0,0.0,0.0
32,Kalyxta Gamiao,Arkansas,9.725,7.336607142857145,2022,0.0,0.0,0.0
33,Madison Greene,S.E. Missouri,9.7,7.079545454545454,2022,9.725,9.692,0.0
34,Jenna Hlavach,Ohio State,9.8,6.93653846153846,2022,9.875,9.812,9.845
35,Jessica Johanson,Penn State,9.875,7.149999999999998,2022,9.9,9.816,9.84
36,Isabel Song,Pennsylvania,9.9,6.633620689655172,2022,9.825,9.742,9.765
37,Trinity Brown,Utah State,9.8,7.32983870967742,2022,9.875,9.819,9.84
38,Haley Tyson,Minnesota,9.95,7.410000000000001,2022,0.0,0.0,0.0
39,Ashley Blum,Washington,9.725,5.482051282051283,2022,9.8,9.698,9.74
