,School,Conference,Year,Final Rank,NQS,Home Average,Away Average,Location Delta,Scores >= 9.9,VT Delta,UB Delta,BB Delta,FX Delta,AA Delta
0,Boise State,MRGC,2009,20,195.735,195.5,194.672,0.828,5.7,3.059,1000.0,2.47,3.174,1000.0
1,BYU,MRGC,2009,50,192.255,190.925,191.3,-0.375,0.4,3.067,1.739,1.02,4.009,9.955
2,Centenary College,MIC,2009,56,191.265,191.988,189.132,2.856,0.0,1000.0,4.015,3.063,1000.0,1000.0
3,Denver,Big12,2009,18,195.545,195.242,194.431,0.811,6.2,2.846,3.707,2.594,2.237,11.086
4,Georgia,SEC,2009,1,197.62,197.1,197.042,0.058,35.4,1000.0,4.549,3.689,2.651,1000.0
5,Hamline,NaN,2009,78,178.875,177.51,176.329,1.181,0.0,1.775,2.984,1.702,1.822,6.304
6,Illinois,Big10,2009,12,196.335,195.855,195.214,0.641,6.8,-0.5,1000.0,1000.0,0.638,1000.0
7,Iowa,Big10,2009,33,195.09,194.354,194.646,-0.292,3.5,0.143,0.532,0.035,0.615,1.305
8,LSU,SEC,2009,6,196.82,196.69,196.032,0.658,18.0,2.66,4.004,3.365,3.239,12.953
9,Nebraska,Big10,2009,17,196.075,195.92,195.622,0.298,9.3,0.972,1000.0,1000.0,1.157,1000.0
10,New Hampshire,EAGL,2009,34,194.595,194.565,193.378,1.187,2.9,1000.0,0.579,0.486,0.307,1000.0
11,North Carolina,EAGL,2009,29,194.93,0.0,194.093,-194.093,3.0,1.899,2.433,0.699,1.369,1.351
12,Oregon State,PAC12,2009,11,196.61,196.545,195.847,0.698,14.8,1000.0,0.658,1.158,1.138,1000.0
13,Springfield College,NaN,2009,75,181.955,181.533,181.65,-0.117,0.0,4.275,4.145,3.193,1000.0,1000.0
14,West Chester,GEC,2009,79,178.52,178.438,177.689,0.749,0.0,1000.0,2.628,2.39,2.572,1000.0
15,Cal State-Fullerton,NaN,2009,42,193.5,192.895,193.383,-0.488,0.4,1000.0,1000.0,0.295,1000.0,1000.0
16,Kent State,MAC,2010,28,195.12,194.975,193.879,1.096,1.4,4.447,1000.0,3.691,5.789,1000.0
17,North Carolina State,EAGL,2010,34,195.085,194.99,194.012,0.978,3.2,2.828,2.863,1000.0,1000.0,1000.0
18,Ohio State,Big10,2010,35,194.57,194.65,193.081,1.569,0.3,1000.0,1000.0,1000.0,4.798,1000.0
19,Stanford,PAC12,2010,4,196.7,196.406,196.36,0.046,14.2,3.755,4.737,3.081,2.237,12.539
20,Texas Woman's,MIC,2010,44,193.165,193.614,191.363,2.251,0.3,2.398,3.26,2.614,2.262,10.676
21,Winona State,NaN,2010,75,181.165,178.869,178.872,-0.003,0.0,1.895,1000.0,0.542,1.543,1000.0
22,Air Force,MPSF,2011,58,191.043,191.966,188.477,3.489,0.0,1000.0,1000.0,0.527,1000.0,1000.0
23,Alaska,MPSF,2011,62,190.37,191.863,189.029,2.834,0.0,2.056,0.292,0.062,2.084,4.34
24,Arizona,Pac12,2011,21,195.44,194.94,194.636,0.304,3.8,3.535,3.287,3.106,3.385,11.024
25,Arizona State,Pac12,2011,38,193.885,194.355,192.304,2.051,2.6,2.934,3.65,2.82,3.26,12.914
26,Central Michigan,MAC,2011,23,195.3,195.338,194.403,0.935,1.4,1000.0,1.783,1000.0,1000.0,1000.0
27,George Washington,EAGL,2011,42,193.205,192.756,192.136,0.62,0.4,0.595,1.391,1000.0,1.116,1000.0
28,Hamline,NaN,2011,78,180.255,178.333,179.533,-1.2,0.0,2.631,3.009,1000.0,2.759,1000.0
29,North Carolina State,EAGL,2011,26,195.155,194.554,194.771,-0.217,2.5,2.648,3.722,2.19,3.502,10.708
30,Penn State,Big10,2011,14,196.235,196.056,195.4,0.656,11.3,2.746,3.507,1000.0,2.905,1000.0
31,Rhode Island College,NaN,2011,83,159.635,158.712,161.294,-2.582,0.0,1.459,3.3,1.179,1000.0,13.992
32,Southern Utah,MRGC,2011,33,194.925,194.846,193.964,0.882,1.6,0.225,1000.0,1000.0,1000.0,1000.0
33,Air Force,MPSF,2012,59,191.89,191.917,190.227,1.69,0.0,1.936,2.162,1.538,1.989,1000.0
34,Alabama,SEC,2012,1,197.565,197.33,196.978,0.352,28.1,0.963,1.275,0.443,1.039,7.038
35,Alaska,MPSF,2012,65,189.365,189.77,187.987,1.783,0.0,2.116,2.461,2.235,2.343,9.045
36,Arizona,Pac12,2012,22,196.02,195.75,195.209,0.541,6.0,3.957,1.806,3.133,2.85,12.497
37,Arizona State,Pac12,2012,27,195.145,194.413,194.568,-0.155,0.7,0.438,0.812,0.915,0.064,2.6
38,Arkansas,SEC,2012,6,196.785,196.614,195.994,0.62,19.2,0.142,0.259,1000.0,0.172,1000.0
39,Auburn,SEC,2012,15,195.965,196.246,194.743,1.503,7.3,1.95,0.335,2.129,1.663,1.132
40,Ball State,MAC,2012,52,192.715,192.82,191.028,1.792,0.3,0.165,0.755,0.328,0.856,1000.0
41,Boise State,MRGC,2012,14,196.115,195.633,195.596,0.037,9.7,3.119,3.374,2.595,2.968,12.431
42,Bowling Green,2763,2012,48,193.63,193.206,192.494,0.712,0.7,0.11,1.175,0.169,0.35,1.82
43,Bridgeport,GEC,2012,38,195.375,195.15,193.575,1.575,6.9,1.338,1.196,2.326,1.658,2.756
44,Brockport,NaN,2012,69,188.125,187.533,187.091,0.442,0.0,0.379,1.294,0.254,-0.085,1000.0
45,Brown,GEC,2012,62,191.1,189.158,190.971,-1.813,0.0,0.405,0.59,0.503,0.752,2.485
46,BYU,MRGC,2012,37,194.685,193.744,193.994,-0.25,2.0,0.797,0.8,1.021,0.496,1000.0
47,California,Pac12,2012,49,193.28,193.094,192.378,0.716,0.0,3.337,4.451,2.433,2.591,1000.0
48,Centenary College,MIC,2012,61,191.17,192.267,188.897,3.37,0.0,1.825,3.149,1.869,0.8,1000.0
49,Central Michigan,MAC,2012,34,194.855,193.583,193.922,-0.339,0.9,2.028,2.597,2.29,2.242,13.311
50,Cornell,GEC,2012,63,190.9,190.644,189.65,0.994,0.0,1.21,1000.0,1.663,2.094,1000.0
51,Cortland State,NaN,2012,68,188.05,186.692,186.111,0.581,0.0,1.833,0.837,0.551,3.341,1000.0
52,Denver,Big12,2012,23,196.09,195.746,195.003,0.743,7.4,3.483,2.041,3.518,3.423,14.113
53,Eastern Michigan,MAC,2012,53,193.045,192.925,192.218,0.707,0.0,2.255,3.653,2.348,2.569,14.145
54,Florida,SEC,2012,2,197.71,197.445,197.061,0.384,29.5,1.077,0.25,2.695,1.133,1000.0
55,George Washington,EAGL,2012,51,193.12,192.406,192.194,0.212,0.3,0.355,1.027,1.59,2.065,1.801
56,Georgia,SEC,2012,11,197.1,197.15,196.603,0.547,20.9,3.381,3.431,3.378,3.384,13.563
57,Illinois,Big10,2012,18,195.7,195.538,194.982,0.556,4.7,3.152,3.466,3.518,3.551,1000.0
58,Illinois State,MIC,2012,43,194.15,193.16,193.3,-0.14,0.0,1.983,1000.0,2.52,2.26,1000.0
59,Iowa,Big10,2012,26,195.085,194.689,194.608,0.081,1.9,1.157,3.866,1.293,6.687,22.606
60,Iowa State,Big12,2012,35,195.49,195.006,194.394,0.612,2.8,3.651,3.597,3.464,3.542,14.449
61,Kent State,MAC,2012,33,195.4,195.55,194.036,1.514,3.4,2.589,2.835,2.391,2.977,9.424
62,Kentucky,SEC,2012,25,195.49,194.93,194.516,0.414,1.0,1.309,2.37,1.146,1.13,8.049
63,LSU,SEC,2012,9,196.595,196.225,195.914,0.311,11.0,0.279,0.669,0.373,0.362,1.645
64,Maryland,Big10,2012,28,194.905,194.38,194.378,0.002,4.8,0.496,0.377,0.863,0.37,1.966
65,Michigan,Big10,2012,13,195.985,195.092,195.562,-0.47,9.4,0.028,0.236,0.386,0.235,1.013
66,Michigan State,Big10,2012,32,194.94,194.029,193.656,0.373,2.1,1.186,1.311,1.219,1.331,6.774
67,Minnesota,BIG10,2012,24,195.96,195.154,195.134,0.02,1.2,2.751,1.988,3.56,3.597,14.122
68,Missouri,SEC,2012,20,195.865,195.325,195.114,0.211,8.3,1.782,3.533,3.119,1.744,9.774
69,New Hampshire,EAGL,2012,31,195.12,195.104,193.654,1.45,2.6,1.568,2.177,1.006,0.338,8.125
70,North Carolina,EAGL,2012,30,195.01,194.655,194.196,0.459,3.7,0.372,2.769,1.385,0.356,3.641
71,North Carolina State,EAGL,2012,17,195.925,195.621,195.05,0.571,3.3,2.319,0.977,0.312,2.119,5.642
72,Northern Illinois,MAC,2012,46,194.04,192.492,193.162,-0.67,0.7,2.891,0.543,5.408,4.349,1000.0
73,Ohio State,Big10,2012,10,196.51,196.562,195.756,0.806,8.0,4.295,2.238,2.816,0.62,1000.0
74,Oklahoma,Big12,2012,7,197.36,196.99,196.858,0.132,18.1,0.573,0.177,3.297,0.383,1.688
75,Oregon State,PAC12,2012,12,196.79,196.74,196.253,0.487,14.1,2.082,3.346,2.478,1.657,11.997
76,Penn State,Big10,2012,16,196.23,196.138,195.833,0.305,11.1,1.585,0.31,1.785,1.407,4.952
77,Pennsylvania,GEC,2012,55,193.02,192.537,191.936,0.601,0.6,1.772,2.181,2.183,1.335,15.404
78,Pittsburgh,EAGL,2012,40,194.5,194.51,193.221,1.289,0.7,2.069,2.005,2.267,3.625,12.706
79,Rutgers,Big10,2012,54,192.775,191.865,192.486,-0.621,1.0,1.828,0.446,1.649,0.438,0.031
80,S.E. Missouri,MIC,2012,56,192.12,193.0,189.358,3.642,1.1,3.39,1000.0,3.303,1000.0,1000.0
81,Sacramento State,MPSF,2012,41,194.47,193.12,193.675,-0.555,2.0,2.13,2.154,3.244,2.998,14.103
82,San Jose State,MPSF,2012,36,194.79,194.825,194.014,0.811,2.9,1.966,2.549,2.35,2.531,3.511
