Season,Meet ID,Meet Date,Host,Opponents,Meet Name,Gymnast ID,Name,Team,Event,RQS,Score
2022,26784,"Fri, Jan-14-2022",Utah State,Air Force,,31652,Amber Boll,Air Force,VT,9.735,9.5500
2022,26784,"Fri, Jan-14-2022",Utah State,Air Force,,31652,Amber Boll,Air Force,UB,9.790,9.4250
2022,26784,"Fri, Jan-14-2022",Utah State,Air Force,,31653,Velandra Brochi,Air Force,VT,9.715,9.5500
2022,26784,"Fri, Jan-14-2022",Utah State,Air Force,,31653,Velandra Brochi,Air Force,BB,9.765,9.1750
2022,26784,"Fri, Jan-14-2022",Utah State,Air Force,,31653,Velandra Brochi,Air Force,FX,9.740,9.6750
2022,26784,"Fri, Jan-14-2022",Utah State,Air Force,,30178,Pixie Brock,Air Force,BB,,9.7000
2022,26784,"Fri, Jan-14-2022",Utah State,Air Force,,30582,Briona Carswell,Air Force,BB,9.810,9.7500
2022,26784,"Fri, Jan-14-2022",Utah State,Air Force,,31657,Madeline Kinsey,Air Force,VT,,9.0750
2022,26784,"Fri, Jan-14-2022",Utah State,Air Force,,31658,Ayla McKean,Air Force,VT,9.770,9.7500
2022,26784,"Fri, Jan-14-2022",Utah State,Air Force,,31658,Ayla McKean,Air Force,UB,9.805,9.6250
2022,26784,"Fri, Jan-14-2022",Utah State,Air Force,,31658,Ayla McKean,Air Force,FX,9.815,9.7000
2022,26784,"Fri, Jan-14-2022",Utah State,Air Force,,30182,Natalie Meyer,Air Force,FX,9.700,9.6000
2022,26784,"Fri, Jan-14-2022",Utah State,Air Force,,30800,Grace Nelson,Air Force,VT,9.455,9.5750
2022,26784,"Fri, Jan-14-2022",Utah State,Air Force,,30800,Grace Nelson,Air Force,UB,9.690,9.0750
2022,26784,"Fri, Jan-14-2022",Utah State,Air Force,,31661,Genevieve Sabado,Air Force,VT,9.690,9.5000
2022,26784,"Fri, Jan-14-2022",Utah State,Air Force,,31661,Genevieve Sabado,Air Force,UB,9.800,9.6500
2022,26784,"Fri, Jan-14-2022",Utah State,Air Force,,31661,Genevieve Sabado,Air Force,BB,9.840,9.8000
2022,26784,"Fri, Jan-14-2022",Utah State,Air Force,,31661,Genevieve Sabado,Air Force,FX,9.835,9.5250
2022,26784,"Fri, Jan-14-2022",Utah State,Air Force,,30802,Elizabeth Shearns,Air Force,UB,,9.1000
2022,26784,"Fri, Jan-14-2022",Utah State,Air Force,,30184,Valerie Smith,Air Force,BB,9.750,9.8000
2022,26784,"Fri, Jan-14-2022",Utah State,Air Force,,30185,Cameo Stapleton,Air Force,FX,9.850,9.7250
2022,26784,"Fri, Jan-14-2022",Utah State,Air Force,,30186,Daija Stevenson,Air Force,UB,,7.5000
2022,26784,"Fri, Jan-14-2022",Utah State,Air Force,,30186,Daija Stevenson,Air Force,BB,9.765,9.7500
2022,26784,"Fri, Jan-14-2022",Utah State,Air Force,,30186,Daija Stevenson,Air Force,FX,9.780,9.6750
2022,26910,"Sun, Jan-23-2022",Centenary College,Air Force,,30177,Grace Bardes,Air Force,UB,9.670,9.1500
2022,26910,"Sun, Jan-23-2022",Centenary College,Air Force,,31652,Amber Boll,Air Force,VT,9.735,9.6000
2022,26910,"Sun, Jan-23-2022",Centenary College,Air Force,,31652,Amber Boll,Air Force,UB,9.790,9.6250
2022,26910,"Sun, Jan-23-2022",Centenary College,Air Force,,31653,Velandra Brochi,Air Force,VT,9.715,9.7750
