Team,Year,VT,UB,BB,FX,Overall
Air Force,2022,58,55,53,49,54
Alabama,2022,5,3,5,7,7
Alaska,2022,69,63,63,65,64
Arizona,2022,45,33,25,27,26
Arizona State,2022,11,18,19,37,22
Arkansas,2022,14,20,16,24,16
Auburn,2022,5,5,4,6,4
Ball State,2022,38,51,43,51,48
Boise State,2022,26,7,34,49,27
Bowling Green,2022,53,58,52,58,56
Bridgeport,2022,74,70,64,75,70
Brockport,2022,64,64,66,63,63
Brown,2022,55,52,61,62,59
BYU,2022,25,23,17,18,24
California,2022,12,10,8,15,11
Centenary College,2022,68,72,70,72,72
Central Michigan,2022,31,40,46,26,37
Cornell,2022,62,65,62,61,62
Cortland State,2022,77,79,79,70,77
Denver,2022,22,12,7,34,13
Eastern Michigan,2022,57,48,51,53,52
Florida,2022,2,2,2,3,2
George Washington,2022,27,41,42,39,39
Georgia,2022,14,27,30,19,30
Gustavus Adolphus,2022,76,75,81,79,80
Hamline,2022,81,81,80,80,81
Illinois,2022,20,16,17,22,19
Illinois State,2022,40,47,58,46,51
Iowa,2022,21,44,27,11,15
Iowa State,2022,14,39,41,30,25
Ithaca College,2022,70,71,72,67,71
Kent State,2022,44,29,39,23,41
Kentucky,2022,9,9,26,13,10
Lindenwood,2022,56,56,49,56,53
LIU,2022,54,54,54,57,55
LSU,2022,3,10,5,8,18
Maryland,2022,18,13,33,40,29
Michigan,2022,1,4,11,1,8
Michigan State,2022,19,15,10,9,9
Minnesota,2022,8,7,22,2,6
Missouri,2022,17,22,13,10,5
Nebraska,2022,34,30,22,48,38
New Hampshire,2022,50,42,47,44,47
North Carolina,2022,39,35,27,38,32
North Carolina State,2022,46,30,20,30,31
Northern Illinois,2022,52,37,45,28,44
Ohio State,2022,23,14,22,16,20
Oklahoma,2022,4,1,3,5,1
Oregon State,2022,10,25,8,14,17
Penn State,2022,35,21,55,25,40
Pennsylvania,2022,49,43,43,55,50
Pittsburgh,2022,47,24,37,47,43
Rhode Island College,2022,79,80,75,74,76
Rutgers,2022,28,50,39,33,46
S.E. Missouri,2022,63,61,56,54,59
Sacramento State,2022,51,59,57,60,58
San Jose State,2022,41,26,32,36,35
Southern Conn.,2022,60,62,65,66,65
Southern Utah,2022,29,16,35,43,28
Springfield College,2022,73,77,74,72,75
Stanford,2022,32,32,31,17,14
Temple,2022,29,45,37,35,45
Texas Woman's,2022,48,57,48,45,49
Towson,2022,32,36,21,41,34
UC Davis,2022,35,49,50,28,42
UCLA,2022,12,19,12,12,12
Ursinus College,2022,75,73,76,77,74
Utah,2022,5,6,1,4,3
Utah State,2022,37,28,14,21,23
UW-Eau Claire,2022,80,78,77,81,79
UW-La Crosse,2022,71,69,69,71,69
UW-Oshkosh,2022,67,67,68,69,67
UW-Stout,2022,72,74,73,76,73
UW-Whitewater,2022,65,66,70,68,66
Washington,2022,24,33,15,42,21
West Chester,2022,60,60,59,52,61
West Virginia,2022,41,38,36,19,33
Western Michigan,2022,43,46,27,30,36
William & Mary,2022,66,68,67,64,68
Winona State,2022,78,76,78,78,78
Yale,2022,59,53,60,59,57
Air Force,2021,52,54,46,50,53
Alabama,2021,5,8,6,13,5
Arizona,2021,41,35,32,32,27
Arizona State,2021,13,12,20,17,9
Arkansas,2021,13,9,11,3,13
Auburn,2021,23,14,14,24,35
Ball State,2021,34,25,45,32,37
Boise State,2021,19,12,31,14,24
Bowling Green,2021,49,51,51,52,50
BYU,2021,19,11,12,10,19
California,2021,9,1,9,6,7
Centenary College,2021,55,55,55,55,55
Central Michigan,2021,21,33,44,14,26
Denver,2021,18,2,8,9,10
Eastern Michigan,2021,40,29,22,37,32
Florida,2021,4,5,1,1,4
George Washington,2021,42,43,49,46,46
Georgia,2021,11,21,24,21,18
Gustavus Adolphus,2021,56,56,56,56,63
Hamline,2021,56,56,56,56,62
Illinois,2021,24,17,14,19,20
Illinois State,2021,36,42,50,36,43
Iowa,2021,16,18,24,4,17
Iowa State,2021,11,23,21,26,21
Kent State,2021,45,25,42,18,31
Kentucky,2021,13,16,13,23,11
Lindenwood,2021,27,39,48,41,44
LIU,2021,54,53,52,54,54
LSU,2021,2,6,7,2,6
Maryland,2021,16,27,38,35,30
Michigan,2021,1,3,4,12,1
Michigan State,2021,56,56,56,56,56
Minnesota,2021,6,7,5,10,8
Missouri,2021,31,28,10,34,14
Nebraska,2021,25,34,22,42,39
New Hampshire,2021,47,36,36,40,38
North Carolina,2021,39,39,28,48,41
North Carolina State,2021,29,24,29,29,15
Northern Illinois,2021,46,29,43,47,45
Ohio State,2021,29,22,24,38,16
Oklahoma,2021,3,4,2,6,2
Oregon State,2021,10,48,18,14,22
Penn State,2021,37,19,33,39,33
Pittsburgh,2021,48,47,39,51,49
Rutgers,2021,34,43,24,49,40
S.E. Missouri,2021,50,50,40,44,47
